TF	Total genes	Activados	Reprimidos	Tipo	Lista de genes
RcnR	3	0	3	represor	rcnA, rcnB, rcnR
RcsAB	16	10	6	dual	csgD, csgE, csgF, csgG, flhC, flhD, rcsA, wcaA, wcaB, wza, wzb, wzc, yjbE, yjbF, yjbG, yjbH
RcsB	26	24	2	dual	bdm, ftsA, ftsZ, gadA, gadB, gadC, gadX, gadY, hdeA, hdeB, hdeD, lolA, osmB, osmC, rarA, rpoE, rprA, rseA, rseB, rseC, rseD, safA, sra, ydeO, ydeP, yhiD
RcsB-BglJ	16	16	0	activador	bglB, bglF, bglG, leuO, sfsB, yecT, yehF, ygiZ, yidL, ykiA, ynbA, ynbB, ynbC, ynbD, ynjI, yqhG
RelB	3	0	3	represor	hokD, relB, relE
RelBE	3	0	3	represor	hokD, relB, relE
RhaR	2	2	0	activador	rhaR, rhaS
RhaS	6	6	0	activador	rhaA, rhaB, rhaD, rhaR, rhaS, rhaT
Rob	52	40	12	dual	acnA, acrA, acrB, acrZ, acs, actP, aldA, aslB, astC, chaC, dapD, elaB, fadA, fadB, fadD, fadL, fumC, glgS, glnD, inaA, ldtB, lpxL, map, marA, marB, marR, mdaB, mdtD, micF, mltF, narG, nfo, nfsA, nfsB, rimK, rob, sodA, tolC, waaY, waaZ, yacH, ybiT, ybjC, ybjN, ydcL, ygiB, ygiC, yhbO, yhbW, yiaG, yjcH, zwf
RplA	6	0	6	represor	rplA, rplJ, rplK, rplL, rpoB, rpoC
RplD	1	0	1	represor	tnaA
RplM	2	0	2	represor	rplM, rpsI
RplT	2	0	2	represor	rplT, rpmI
RplY	1	0	1	represor	rplY
RpmE	1	0	1	represor	rpmE
RpoN	6	0	6	represor	cspC, fadL, mutM, nth, yfcZ, yobF
RprA	9	1	8	dual	csgD, csgE, csgF, csgG, dgcM, hdeD, lrhA, narP, rpoS
RpsA	5	4	1	dual	fis, manY, pnp, rpsA, rpsO
RpsB	3	0	3	represor	rpsB, tff, tsf
RpsD	4	0	4	represor	rplQ, rpsD, rpsK, rpsM
RpsG	4	0	4	represor	fusA, rpsG, rpsL, tufA
RpsH	12	0	12	represor	rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpmJ, rpsE, rpsH, rpsN, secY
RpsO	1	0	1	represor	rpsO
RseX	4	0	4	represor	fimB, ihfB, ompA, ompC
RstA	10	5	5	dual	asr, csgD, csgE, csgF, csgG, narG, narH, narI, narJ, ompF
RtcR	2	2	0	activador	rtcA, rtcB
RutR	17	2	15	dual	carA, carB, fepB, gadW, gadX, gloA, nemA, nemR, pdeR, rutA, rutB, rutC, rutD, rutE, rutF, rutG, rutR
RybB	15	1	14	dual	csgD, csgE, csgF, csgG, fadL, fiu, maoP, nmpC, ompC, ompF, ompW, rbsB, rluD, sdhC, tsx
RydC	12	7	5	dual	cfa, csgD, csgE, csgF, csgG, pheA, trpA, trpB, trpC, trpD, trpE, trpL
RyhB	45	2	43	dual	acnB, b0725, bfr, cirA, cysE, erpA, fumA, fur, grxD, hemB, hemH, iscA, iscR, iscS, iscU, marA, msrB, nirB, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, sdhA, sdhB, sdhC, sdhD, sdhX, shiA, sodA, sodB, sucA, sucB, sucC, sucD, uof, yieP
S6:S18 ribosomal subunit complex	4	0	4	represor	priB, rplI, rpsF, rpsR
SdhX	6	0	6	represor	ackA, fdhE, fdoG, fdoH, fdoI, katG
SdiA	7	5	2	dual	ftsA, ftsZ, gadW, gadY, rflP, rmf, rsd
SdsN	3	0	3	represor	hmp, narP, nfsA
SdsR	5	0	5	represor	mutS, tolC, yeaG, yeaH, yhcB
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>	2	0	2	represor	selA, selB
SgrR	9	4	5	dual	alaC, setA, sgrR, sgrS, sgrT, sroA, thiB, thiP, thiQ
SgrS	10	1	9	dual	adiY, asd, folE, manX, manY, manZ, ptsG, purR, yeiB, yigL
SibC	1	0	1	represor	ibsC
SlyA	48	39	9	dual	cas1, cas2, casA, casB, casC, casD, casE, elfA, fecI, fecR, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hlyE, leuO, mdtM, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pagP, rmf, rsd, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, slyA, yjiN
SoxR	8	7	1	dual	aroF, fumC, sodA, soxR, soxS, tyrA, yjcB, yrbL
SoxS	54	50	4	dual	acnA, acrA, acrB, acrZ, aldA, cadA, dapD, decR, fldA, fldB, fpr, fumC, fur, glnD, inaA, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, nepI, nfo, nfsA, nfsB, ompN, ompW, pbpG, pgi, poxB, pqiA, pqiB, pqiC, ptsG, ribA, rimK, rob, sodA, soxS, tolC, uof, waaY, waaZ, ybjC, ybjN, ydbK, ygiB, ygiC, yhbW, yrbL, zinT, zwf
Spf	27	2	25	dual	araF, ascF, atoD, caiA, dppB, ebgC, fucI, fucK, fucP, galK, gdhA, glpF, gltA, gss, lldP, maeA, nanC, nanT, paaK, puuE, sdhC, srlA, sthA, sucC, xylF, yjiA, ytfJ
SraG	1	0	1	represor	pnp
SrlR	7	0	7	represor	gutM, gutQ, srlA, srlB, srlD, srlE, srlR
SrsR	38	38	0	activador	adhE, bluR, cdgI, dhaK, dhaL, dhaM, dinJ, fucA, fucI, fucK, fucO, fucP, fucR, fucU, hycB, narZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, yafL, yafQ, yfdK, yfdL, yfdM, yfdN, yfdO, yfdP, yfdQ
StfZ	1	0	1	represor	ftsZ
StpA	21	11	10	dual	bglB, bglF, bglG, cas1, cas2, casA, casB, casC, casD, casE, fau, leuO, malE, malF, malG, malH, proV, proW, proX, ssrS, stpA
SutR	7	1	6	dual	cysE, fliA, fliZ, pfkB, tcyJ, ydcO, ypfN
SymR	1	0	1	represor	symE
TdcA	7	7	0	activador	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG
TdcR	7	7	0	activador	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG
TorR	19	18	1	dual	adiA, adiC, gadB, gadC, gadE, hdeA, hdeB, mdtE, mdtF, rpoS, slp, tnaA, tnaB, tnaC, torA, torC, torD, torR, yhiD
TreR	2	0	2	represor	treB, treC
TrpR	12	0	12	represor	aroH, aroL, aroM, mtr, trpA, trpB, trpC, trpD, trpE, trpL, trpR, yaiA
TyrR	11	2	9	dual	aroF, aroG, aroL, aroM, aroP, folA, mtr, tyrA, tyrB, tyrR, yaiA
UhpA	2	2	0	activador	uhpT, uhpU
UhpU	2	1	1	dual	fliC, lrhA
UidR	4	0	4	represor	uidA, uidB, uidC, uidR
UlaR	7	0	7	represor	ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG
UvrY	6	6	0	activador	csrB, csrC, luxS, uhpT, uhpU, ydeP
UxuR	11	0	11	represor	exuR, fliC, gntP, lgoD, lgoR, uidA, uidB, uidC, uxuA, uxuB, uxuR
XapR	2	2	0	activador	xapA, xapB
XylR	9	8	1	dual	araC, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ
XynR	5	0	5	represor	insX, yagA, yagB, yagE, yagF
YafC	1	1	0	activador	cysJ
YciT	4	2	2	dual	bsmA, cusF, rdcA, ybiY
YcjW	12	0	12	represor	ompG, ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ycjV, ymjB
YdaT	1	1	0	activador	rcsA
YdcI	5	5	0	activador	flu, gadB, iraP, isrC, smrB
YdeO	24	21	3	dual	adiA, appA, appB, appC, appX, dctR, gadB, gadE, gadF, gadW, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, mdtE, mdtF, nhaR, safA, slp, uspD, ydeO, yiiS
YdfH	2	0	2	represor	rspA, rspB
YdiP	2	2	0	activador	cspA, cspE
YebK	1	0	1	represor	yebK
YefM	2	0	2	represor	yefM, yoeB
YefMB	2	0	2	represor	yefM, yoeB
YegW	3	0	3	represor	yegT, yegU, yegV
YeiE	15	4	11	dual	argO, cysJ, dcuC, ftp, gltF, infA, mdtF, pflB, putA, sodC, ssuA, uspF, ydcT, yibQ, yoaC
YeiL	1	1	0	activador	yeiL
YfeC	6	1	5	dual	hybE, rpmB, rpmH, rpsU, yfeC, ygdR
YgaV	4	4	0	activador	cirA, fhuE, fhuF, nfeF
YgbI	2	0	2	represor	ygbJ, ygbK
YgiV	1	0	1	represor	mcbR
YhaJ	8	8	0	activador	bssS, ybiJ, ygiD, yhaJ, yhaK, yhaL, yhhW, yqjF
YiaU	6	6	0	activador	adeP, gltD, waaP, yiaT, yiaV, yiaW
YidZ	4	0	4	represor	malE, ppiC, rbsD, rof
YieP	7	2	5	dual	cusA, dauA, rydC, ybiX, yieP, ykgE, yohJ
YjjQ	10	0	10	represor	dgcN, flhC, flhD, gfcA, ompC, ybhL, yciX, yfiB, yfiR, ymiA
YqhC	2	2	0	activador	dkgA, yqhD
YrdG	1	0	1	represor	mscL
ZntR	2	0	2	represor	rmf, rsd
ZraR	28	25	3	dual	acrE, cpxP, cspA, cspB, exuR, fhuA, fliA, gadW, glnA, glnH, mdtL, mgtA, pnp, raiA, rfaD, rmf, rpoH, sspA, ssrA, tnaA, tnaB, yhdW, yhhY, yjjY, yrdD, zraP, zraR, zraS
Zur	7	0	7	represor	pliG, ykgM, ykgO, zinT, znuA, znuB, znuC
acetyl-CoA carboxyltransferase	2	0	2	represor	accA, accD
carbon storage regulator CsrA	14	0	14	represor	acnA, dgcT, dgcZ, evgA, glgA, glgC, glgP, glgS, nhaR, pgaA, pgaB, pgaC, pgaD, sdiA
ppGpp	306	194	112	dual	acnA, adhP, agp, aidB, alaT, alaU, alaV, argH, argI, argS, argT, argX, ariR, aroM, blc, bolA, cadA, cbpA, cbpM, cfa, clsB, crp, csgD, csgE, csgF, csgG, csgI, cspA, cspD, csrA, csrB, csrC, curA, cysQ, dacC, dkgA, dksA, dnaA, dnaN, dps, dtpB, dusB, ecnB, efp, elaB, fadD, fadL, fbaB, fimB, fis, fkpA, flu, folK, frr, ftsA, ftsK, ftsQ, ftsZ, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, ggt, glaH, glgA, glgC, glgP, glgS, glnU, glnV, glnW, glnX, glsA, gltT, gltU, gltV, gltW, gluQ, glyT, grxB, hchA, hdeA, hdeB, hdeD, hisJ, hisM, hisP, hisQ, hisR, hmp, hns, idlP, ileT, ileU, ileV, ilvA, ilvB, ilvD, ilvE, ilvG, ilvH, ilvI, ilvL, ilvM, ilvN, ilvX, infA, iraD, iraP, isrC, ivbL, katE, kbp, ldtE, leuA, leuB, leuC, leuD, leuL, leuO, leuT, leuV, leuW, leuX, lhgD, livJ, lrp, lysS, mazG, mdtE, mdtF, metT, metU, metV, metW, metZ, mioC, mnmG, msyB, narU, osmB, osmC, osmF, osmY, otsA, otsB, patA, pcnB, phr, pnp, poxB, prfB, prfC, priB, proM, pth, pyrB, pyrI, pyrL, qorA, queA, recF, relA, rluC, rmf, rnpA, rplI, rpmE, rpmH, rpoE, rpoS, rpsB, rpsF, rpsO, rpsR, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rsmG, rssB, serW, setA, sgrR, sgrS, sgrT, sodC, speC, sra, sroA, sroD, sufA, sufB, sufC, sufD, sufE, sufS, talA, tam, tff, tgt, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrT, thrU, thrV, tktB, tpr, treA, treF, trxA, tsf, tufB, tyrT, tyrU, tyrV, uspA, uspB, uspC, uspD, uspE, wrbA, yahO, yaiA, yajC, yajO, ybaA, ybaT, ybdK, ybeL, ybgA, ybgS, ybhN, ybhP, ybjP, ycaP, yccJ, yccU, ycgB, ychF, ychH, ydcK, ydcL, yeaG, yeaH, yeaQ, yebF, yebV, yedP, yegP, yehE, yehW, yehX, yehY, yfcZ, yghA, yhbO, yhcO, yhhA, yhiD, yiaG, yiiS, yjbJ, yjfY, yjgH, ynfD, yniA, yoaC, yohC, yojI, yqaE, yqjF, ysgA, ytiC, ytiD
ribonuclease E	1	0	1	represor	rne
small heat shock protein IbpA	2	0	2	represor	ibpA, ibpB
threonine&mdash;tRNA ligase	1	0	1	represor	thrS
